,player_name,age,fee,transfer_period,season,Squad,player_code
2806,Tomás Araújo,20.0,0.0,Summer,2022/2023,Gil Vicente FC,tomas-araujo02
2810,Danilo Veiga,19.0,0.0,Summer,2022/2023,Gil Vicente FC,danilo-veiga02
2812,Pedro Tiba,33.0,0.0,Summer,2022/2023,Gil Vicente FC,pedro-tiba88
2814,Adrián Marín,25.0,0.0,Summer,2022/2023,Gil Vicente FC,adrian-marin97
2815,Juan Manuel Boselli,22.0,50000.0,Summer,2022/2023,Gil Vicente FC,juan-manuel-boselli99
2825,André André,32.0,0.0,Summer,2022/2023,Vitória,andre-andre89
2828,Celton Biai,21.0,0.0,Summer,2022/2023,Vitória,celton-biai00
2829,Afonso Freitas,22.0,0.0,Summer,2022/2023,Vitória,afonso-freitas00
2830,Mamadou Tounkara,20.0,0.0,Summer,2022/2023,Vitória,mamadou-tounkara01
2833,Ryoya Ogawa,25.0,0.0,Summer,2022/2023,Vitória,ryoya-ogawa96
2835,Mikel Villanueva,29.0,0.0,Summer,2022/2023,Vitória,mikel-villanueva93
2836,Jota Silva,22.0,190000.0,Summer,2022/2023,Vitória,jota-silva99
2838,Zé Carlos,20.0,300000.0,Summer,2022/2023,Vitória,ze-carlos01
2840,André Silva,25.0,1000000.0,Summer,2022/2023,Vitória,andre-silva95
2843,Kanya Fujimoto,23.0,600000.0,Summer,2022/2023,Gil Vicente FC,kanya-fujimoto99
2857,Jan Vertonghen,35.0,0.0,Summer,2022/2023,Anderlecht,jan-vertonghen87
2865,Jota,23.0,7300000.0,Summer,2022/2023,Celtic,jota99
2867,Roman Yaremchuk,26.0,16000000.0,Summer,2022/2023,Club Brugge,roman-yaremchuk95
2868,Darwin Núñez,23.0,75000000.0,Summer,2022/2023,Liverpool,darwin-nunez99
2870,Simon Banza,25.0,3000000.0,Summer,2022/2023,Braga,simon-banza96
2871,Serdar Saatci,19.0,1500000.0,Summer,2022/2023,Braga,serdar-saatci03
2877,Mario González,26.0,0.0,Summer,2022/2023,OH Leuven,mario-gonzalez96
2887,Cristián Borja,29.0,0.0,Summer,2022/2023,Braga,cristian-borja93
2893,Álvaro Djaló,22.0,0.0,Summer,2022/2023,Braga,alvaro-djalo99
2894,Sikou Niakaté,22.0,0.0,Summer,2022/2023,Braga,sikou-niakate99
2906,Pizzi,33.0,0.0,Winter,2022/2023,Braga,pizzi89
2907,Joe Mendes,20.0,1500000.0,Winter,2022/2023,Braga,joe-mendes02
2908,Paulo Bernardo,21.0,0.0,Winter,2022/2023,Paços,paulo-bernardo02
2915,Yony González,28.0,0.0,Winter,2022/2023,Portimonense,yony-gonzalez94
2920,Tomás Tavares,21.0,2000000.0,Winter,2022/2023,Spartak Moscow,tomas-tavares01
2922,Enzo Fernández,22.0,121000000.0,Winter,2022/2023,Chelsea,enzo-fernandez01
2927,Patrick,24.0,0.0,Winter,2022/2023,Santa Clara,patrick93
2931,Ygor Nogueira,27.0,0.0,Winter,2022/2023,Santa Clara,ygor-nogueira95
2932,Kento Misao,26.0,0.0,Winter,2022/2023,Santa Clara,kento-misao96
2933,Walter González,27.0,0.0,Winter,2022/2023,Santa Clara,walter-gonzalez95
2935,Gonçalo Nogueira,19.0,0.0,Winter,2022/2023,Vitória,goncalo-nogueira03
2938,Gabriel Pereira,22.0,0.0,Winter,2022/2023,Gil Vicente FC,gabriel-pereira00
2946,Roan Wilson,20.0,0.0,Winter,2022/2023,Gil Vicente FC,roan-wilson02
2948,Depú,23.0,0.0,Winter,2022/2023,Gil Vicente FC,depu00
2965,Sandro Cruz,21.0,0.0,Summer,2022/2023,Chaves,sandro-cruz01
2968,Luther Singh,25.0,0.0,Summer,2022/2023,Chaves,luther-singh97
2969,Ponck,27.0,0.0,Summer,2022/2023,Chaves,carlos-ponck95
2970,Nélson Monte,26.0,0.0,Summer,2022/2023,Chaves,nelson-monte95
2971,Eduardo Borges,20.0,0.0,Summer,2022/2023,Chaves,eduardo-borges00
2973,Habib Sylla,23.0,0.0,Summer,2022/2023,Chaves,habib-sylla99
2975,Euller,27.0,0.0,Summer,2022/2023,Chaves,euller95
2979,Mateo Tanlongo,19.0,0.0,Winter,2022/2023,Sporting CP,mateo-tanlongo03
2980,João Neves,18.0,0.0,Winter,2022/2023,Benfica,joao-neves04
2982,Casper Tengstedt,22.0,7000000.0,Winter,2022/2023,Benfica,casper-tengstedt00
2983,Andreas Schjelderup,18.0,9000000.0,Winter,2022/2023,Benfica,andreas-schjelderup04
2989,Chermiti,18.0,0.0,Winter,2022/2023,Sporting CP,youssef-chermiti04
2992,Ousmane Diomande,19.0,7500000.0,Winter,2022/2023,Sporting CP,ousmane-diomande03
2996,Bernardo Folha,20.0,0.0,Winter,2022/2023,Porto,bernardo-folha02
3008,Pedro Ortiz,22.0,0.0,Winter,2022/2023,Vizela,pedro-ortiz00
3009,Matías Lacava,20.0,0.0,Winter,2022/2023,Vizela,matias-lacava02
3022,Wagner,23.0,0.0,Winter,2022/2023,Portimonense,wagner99
3023,Maurício,34.0,0.0,Winter,2022/2023,Portimonense,mauricio88
3025,Sérgio Conceição,26.0,0.0,Winter,2022/2023,Portimonense,sergio-conceicao96
3031,Benji Michel,25.0,0.0,Winter,2022/2023,Arouca,benji-michel97
3032,Felippe Cardoso,24.0,0.0,Winter,2022/2023,Casa Pia,felippe-cardoso98
3034,João Pedro,29.0,0.0,Winter,2022/2023,Chaves,joao-pedro93
3042,Beni,20.0,0.0,Winter,2022/2023,Casa Pia,beni02
3044,Weverson,22.0,0.0,Winter,2022/2023,Arouca,weverson00
3049,Bruno Ventura,21.0,0.0,Winter,2022/2023,Rio Ave,bruno-ventura01
3053,Thiago Silva,26.0,0.0,Winter,2022/2023,Arouca,thiago-silva84
3054,Yusuf Lawal,24.0,0.0,Winter,2022/2023,Arouca,yusuf-lawal98
3059,Renê Santos,30.0,0.0,Winter,2022/2023,Marítimo,rene-santos92
3060,Val Soares,25.0,0.0,Winter,2022/2023,Marítimo,val-soares97
