,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
19,Alexander Meyer,Dortmund,31,91,7.0,12,1.71,32,20,62.5,1,14.3,Bundesliga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Goalkeeper,86.7,6953,4124,98.2,99.3,67.5,0,0.0,0.0,0.0,0,4,0,0,1,1.57,15,12,+3,0.43,-0.90,12.9,9.9,+3.0,+0.43,-0.49,alexander-meyer91,Germany,Goalkeeper,right,195.0,1000000,0.0,Summer,4.4799999999999995
20,Jonas Omlin,M'Gladbach,28,94,14.3,18,1.26,56,38,71.4,5,33.3,Bundesliga,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,9,1,Goalkeeper,80.6,14423,9281,98.5,98.5,50.9,0,0.4,0.0,-0.4,2,5,1,0,0,1.27,20,18,+2,0.14,+0.39,21.5,21.1,+0.4,+0.03,+0.11,jonas-omlin94,Switzerland,Goalkeeper,right,190.0,7000000,9000000.0,Winter,4.861999999999999
21,Alexander Schwolow,Schalke 04,30,92,22.6,58,2.57,138,80,60.9,2,9.1,Bundesliga,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,6,3,Goalkeeper,66.5,18860,15113,98.9,98.7,46.9,0,0.1,0.2,-0.1,1,32,2,0,0,0.83,24,58,-34,-1.5,-1.33,26.5,40.8,-14.3,-0.63,-0.35,alexander-schwolow92,Germany,Goalkeeper,right,190.0,900000,300000.0,Summer,-51.30200000000001
22,Yann Sommer,Bayern Munich,33,88,19.0,25,1.32,55,30,67.3,5,26.3,Bundesliga,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1,Goalkeeper,86.8,14570,9520,100.0,98.4,57.3,0,0.0,0.0,0.0,0,5,0,0,1,1.95,43,25,+18,0.95,-1.45,39.7,22.4,+17.3,+0.91,-0.46,yann-sommer88,Switzerland,Goalkeeper,right,183.0,5000000,8000000.0,Winter,16.909999999999997
23,Alphonse Areola,West Ham,29,93,3.4,7,2.04,16,9,68.8,1,50.0,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,72.8,1737,1323,100.0,100.0,44.2,0,0.0,0.0,0.0,0,0,0,0,0,0.80,5,7,-2,-0.58,-0.26,5.3,7.5,-2.2,-0.64,-0.59,alphonse-areola93,France,Goalkeeper,right,195.0,8000000,9300000.0,Summer,-2.4139999999999993
24,Gavin Bazunu,Southampton,20,02,32.0,56,1.75,120,67,54.2,4,12.5,Premier League,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,24,2,Goalkeeper,61.0,21528,16289,98.9,97.3,38.5,0,0.1,0.1,-0.1,1,42,1,0,1,0.75,27,56,-29,-0.91,+0.43,30.5,46.1,-15.6,-0.49,+0.80,gavin-bazunu02,Ireland,Goalkeeper,right,188.0,18000000,14000000.0,Summer,-31.68
25,Daniel Bentley,Wolves,29,93,2.0,3,1.50,13,10,76.9,0,0.0,Premier League,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1,Goalkeeper,76.3,1540,927,100.0,100.0,44.1,0,0.0,0.0,0.0,0,0,0,0,0,0.50,1,3,-2,-1.0,-0.31,1.9,5.1,-3.2,-1.62,-1.07,daniel-bentley93,England,Goalkeeper,,193.0,1800000,0.0,Winter,-2.78
26,Fraser Forster,Tottenham,34,88,13.5,24,1.78,55,30,60.0,3,23.1,Premier League,1,0,1,0,0,0,0,,0,1,0,1,0,1,3,1,Goalkeeper,73.3,6319,4013,100.0,98.4,39.6,0,0.0,0.0,0.0,0,2,0,0,0,1.29,26,24,+2,0.15,-0.06,21.4,18.8,+2.6,+0.19,0.00,fraser-forster88,England,Goalkeeper,right,201.0,1500000,0.0,Summer,-6.0749999999999975
27,Wayne Hennessey,Nott'ham Forest,35,87,3.0,5,1.66,14,9,64.3,1,33.3,Premier League,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Goalkeeper,61.6,2134,1661,100.0,100.0,42.9,0,0.0,0.0,0.0,0,3,0,0,0,1.25,2,5,-3,-1.0,-0.22,3.1,5.2,-2.2,-0.72,-0.07,wayne-hennessey87,Wales,Goalkeeper,right,198.0,500000,0.0,Summer,-5.88
28,Keylor Navas,Nott'ham Forest,35,86,17.0,32,1.88,83,51,66.3,1,5.9,Premier League,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,2,Goalkeeper,57.3,10310,8282,100.0,99.3,38.8,0,0.0,0.0,0.0,0,7,0,0,1,0.94,21,32,-11,-0.65,+0.26,15.8,32.4,-16.6,-0.98,-0.58,keylor-navas86,Costa Rica,Goalkeeper,right,185.0,5000000,0.0,Winter,-27.369999999999997
29,Sam Johnstone,Crystal Palace,29,93,9.0,10,1.11,34,25,76.5,3,33.3,Premier League,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Goalkeeper,73.9,5239,3382,100.0,99.2,40.8,0,0.0,0.0,0.0,0,3,0,0,0,1.67,16,10,+6,0.67,+1.18,12.1,8.5,+3.6,+0.40,+0.83,sam-johnstone93,England,Goalkeeper,right,193.0,4000000,0.0,Summer,5.58
