Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/343086/Show/Ivan-Ignatjev,	197,Ivan Ignatjev,https://www.whoscored.com/Teams/668/Show/Russia-Lokomotiv-Moscow,"Lokomotiv Moscow, ",25,",  FW  ",9(11),805	,5	,2	,3	,1.4	,67.8	,0.6	,1	,6.44
https://www.whoscored.com/Players/404601/Show/Vyacheslav-Litvinov,	198,Vyacheslav Litvinov,https://www.whoscored.com/Teams/7164/Show/Russia-FC-Krasnodar,"FC Krasnodar, ",23,",  D(C)  ",10(8),1174	,-	,-	,1	,0.2	,86.9	,1.4	,-	,6.44
https://www.whoscored.com/Players/122318/Show/Reziuan-Mirzov,	199,Reziuan Mirzov,https://www.whoscored.com/Teams/2059/Show/Russia-Khimki,"Khimki, ",30,",  AM(CL),FW  ",12(12),1263	,4	,1	,4	,1.3	,76.3	,0.1	,-	,6.43
https://www.whoscored.com/Players/129944/Show/Vyacheslav-Krotov,	200,Vyacheslav Krotov,https://www.whoscored.com/Teams/23722/Show/Russia-Nizhny-Novgorod,"Nizhny Novgorod, ",31,",  D(R),M(CLR),FW  ",13(10),1223	,2	,1	,4	,0.6	,69.4	,0.8	,-	,6.43
https://www.whoscored.com/Players/378911/Show/Igor-Yurganov,	201,Igor Yurganov,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",30,",  D(C)  ",19(1),1676	,-	,-	,4	,0.2	,82.1	,0.8	,-	,6.43
https://www.whoscored.com/Players/393126/Show/Kirill-Zaika,	202,Kirill Zaika,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",31,",  D(R),M(LR)  ",10(5),775	,2	,-	,3	,0.7	,75	,0.4	,-	,6.42
https://www.whoscored.com/Players/420070/Show/Sergey-Babkin,	203,Sergey Babkin,https://www.whoscored.com/Teams/997/Show/Russia-Krylya-Sovetov-Samara,"Krylya Sovetov Samara, ",21,",  DMC  ",6(10),591	,1	,-	,1	,0.4	,84.2	,0.3	,-	,6.41
https://www.whoscored.com/Players/420371/Show/Maksim-Vityugov,	204,Maksim Vityugov,https://www.whoscored.com/Teams/997/Show/Russia-Krylya-Sovetov-Samara,"Krylya Sovetov Samara, ",26,",  DMC  ",16(12),1613	,-	,-	,3	,0.1	,81.7	,0.5	,-	,6.41
https://www.whoscored.com/Players/420369/Show/Vladislav-Sarveli,	205,Vladislav Sarveli,https://www.whoscored.com/Teams/8726/Show/Russia-PFC-Sochi,"PFC Sochi, ",26,",  AM(C),FW  ",15(11),1326	,4	,1	,2	,1.5	,77	,0.2	,-	,6.41
https://www.whoscored.com/Players/400304/Show/Shamar-Nicholson,	206,Shamar Nicholson,https://www.whoscored.com/Teams/840/Show/Russia-Spartak-Moscow,"Spartak Moscow, ",27,",  FW  ",10(12),820	,3	,1	,2	,1.2	,69	,0.7	,1	,6.41
