Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/400142/Show/Charles-Vanhoutte,	147,Charles Vanhoutte,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",25,",  DMC  ",20(9),1744	,1	,3	,9	,0.5	,68.9	,0.8	,1	,6.62
https://www.whoscored.com/Players/255363/Show/Leonardo-Lopes,	148,Leonardo Lopes,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",25,",  D(R),M(C)  ",22(3),1981	,-	,3	,6	,0.5	,61.7	,1.9	,-	,6.62
https://www.whoscored.com/Players/328977/Show/Dimitri-Laval%C3%A9e,	149,Dimitri Lavalée,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",27,",  D(C),DMC  ",20(1),1754	,-	,-	,3	,0.7	,76.1	,2	,-	,6.62
https://www.whoscored.com/Players/408614/Show/Alioune-Ndour,	150,Alioune Ndour,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",26,",  AM(R)  ",12(12),1198	,6	,4	,2	,1.3	,61.5	,0.7	,-	,6.61
https://www.whoscored.com/Players/383821/Show/Antoine-Bernier,	151,Antoine Bernier,https://www.whoscored.com/Teams/5747/Show/Belgium-RFC-Seraing,"RFC Seraing, ",26,",  M(CLR),FW  ",20(2),1739	,3	,2	,1	,1.8	,69.3	,0.4	,2	,6.61
https://www.whoscored.com/Players/401783/Show/Jo%C3%A3o-Silva,	152,João Silva,https://www.whoscored.com/Teams/886/Show/Belgium-Kortrijk,"Kortrijk, ",25,",  D(C)  ",18(4),1572	,2	,1	,6	,0.4	,73.7	,1.8	,-	,6.61
https://www.whoscored.com/Players/390217/Show/Osaze-Urhoghide,	153,Osaze Urhoghide,https://www.whoscored.com/Teams/2165/Show/Belgium-Oostende,"Oostende, ",23,",  D(CR)  ",24(3),2120	,-	,-	,5	,0.3	,74	,2.2	,-	,6.61
https://www.whoscored.com/Players/342821/Show/Ross-Sykes,	154,Ross Sykes,https://www.whoscored.com/Teams/2647/Show/Belgium-Union-St-Gilloise,"Union St.Gilloise, ",25,",  D(C)  ",12(6),1085	,2	,1	,1	,0.6	,85.4	,1.8	,1	,6.60
https://www.whoscored.com/Players/19552/Show/Lior-Refaelov,	155,Lior Refaelov,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",38,",  AM(CLR),FW  ",16(12),1300	,4	,4	,3	,0.6	,77.9	,0.2	,1	,6.60
https://www.whoscored.com/Players/442970/Show/Novatus-Miroshi,	156,Novatus Miroshi,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",21,",  D(CL),DMC  ",25(6),2327	,-	,2	,8	,0.5	,72.5	,1.2	,-	,6.60
