Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/299272/Show/Ben-Chilwell,	166,Ben Chilwell,https://www.whoscored.com/Teams/15/Show/England-Chelsea,"Chelsea, ",27,",  D(L),M(L)  ",15(8),1408	,2	,2	,3	,0.7	,83.3	,1.1	,-	,6.62
https://www.whoscored.com/Players/327682/Show/Leon-Bailey,	167,Leon Bailey,https://www.whoscored.com/Teams/24/Show/England-Aston-Villa,"Aston Villa, ",26,",  M(CLR),FW  ",26(7),1984	,4	,4	,4	,1.5	,69.2	,0.7	,3	,6.61
https://www.whoscored.com/Players/68049/Show/Aaron-Cresswell,	168,Aaron Cresswell,https://www.whoscored.com/Teams/29/Show/England-West-Ham,"West Ham, ",34,",  D(CL),M(L)  ",24(4),2237	,-	,1	,3	,0.3	,81.4	,1	,-	,6.61
https://www.whoscored.com/Players/394933/Show/Matheus-Nunes,	169,Matheus Nunes,https://www.whoscored.com/Teams/161/Show/England-Wolves,"Wolves, ",25,",  M(CLR)  ",31(4),2480	,1	,1	,2	,0.8	,82.3	,0.6	,2	,6.60
https://www.whoscored.com/Players/386969/Show/Neco-Williams,	170,Neco Williams,https://www.whoscored.com/Teams/174/Show/England-Nottingham-Forest,"Nottingham Forest, ",23,",  D(LR),M(LR)  ",20(11),1877	,1	,-	,7	,0.8	,66.8	,0.5	,1	,6.60
https://www.whoscored.com/Players/256419/Show/Ch%C3%A9-Adams,	171,Ché Adams,https://www.whoscored.com/Teams/18/Show/England-Southampton,"Southampton, ",27,",  AM(CL),FW  ",23(5),1998	,5	,3	,1	,1.7	,67.6	,2.2	,1	,6.60
https://www.whoscored.com/Players/332419/Show/Lloyd-Kelly,	172,Lloyd Kelly,https://www.whoscored.com/Teams/183/Show/England-Bournemouth,"Bournemouth, ",25,",  D(CL)  ",23,2041	,-	,2	,3	,0.1	,81.4	,1.6	,2	,6.59
https://www.whoscored.com/Players/110290/Show/Jo%C3%ABl-Veltman,	173,Joël Veltman,https://www.whoscored.com/Teams/211/Show/England-Brighton,"Brighton, ",32,",  D(CR),M(R)  ",25(6),2196	,1	,1	,6	,0.5	,85.2	,0.8	,-	,6.59
https://www.whoscored.com/Players/122366/Show/Anthony-Martial,	174,Anthony Martial,https://www.whoscored.com/Teams/32/Show/England-Man-Utd,"Man Utd, ",28,",  AM(LR),FW  ",11(10),980	,6	,2	,-	,1.3	,81.6	,0.5	,-	,6.59
https://www.whoscored.com/Players/297390/Show/Manuel-Akanji,	175,Manuel Akanji,https://www.whoscored.com/Teams/167/Show/England-Man-City,"Man City, ",28,",  D(CLR),DMC  ",24(5),2287	,-	,1	,2	,0.5	,93.3	,0.8	,-	,6.59
